,label,label_desc,sentence,keywords
1,104,news_finance,商赢环球股份有限公司关于延期回复上海证券交易所对公司2017年年度报告的事后审核问询函的公告,"商赢环球股份有限公司,年度报告,商赢环球,赢环球股份有限公司,事后审核问询函,上海证券交易所"
2,106,news_house,通过中介公司买了二手房，首付都付了，现在卖家不想卖了。怎么处理？,
5,103,news_sports,再次证明了“无敌是多么寂寞”——逆天的中国乒乓球队！,"世乒赛,张怡宁,许昕,兵乓球,乒乓球"
8,103,news_sports,如何在商业活动中不受人欺骗？,
9,101,news_culture,87版红楼梦最温柔的四个丫鬟，娶谁都是一生的福气,"欧阳奋强,贾宝玉,花袭人,红楼梦,平儿"
11,106,news_house,房地产税迟迟无法出台？央行研究局局长徐忠这样说,"土地市场,税改革,房地产市场,长效机制,调控,城市化,地方政府,二线城市,房地产,房地产税"
12,107,news_car,我四千一个月，老婆一千五一个月，存款八万且有两小孩，是先买房还是先买车？,
13,104,news_finance,“产地办展”模式为“东莞制造”送创新情报,"深圳国际,展览会,东莞市,会展业,珠三角,办展,展览,加博会,虎门,产地办展,展览业,在东莞"
14,104,news_finance,全国首个央地融合平台在沪落地,"中国电建,世博地区,太平洋,功能性,上海能源,融合发展平台,央企,贸试验区央"
15,100,news_story,故事：刘主任建猪场,"刘大柱,青蛇,打谷场,表姐家,那条大蛇"
16,102,news_entertainment,什么是人情，什么是世故？,
17,104,news_finance,「关注」网络自媒体不是“法外之地”，以谣博名、以谣博利将被追责,"伊利公司,刘成昆,天禄财经,潘刚,犯罪嫌疑人,出乌兰记——童话故事,公安机关,邹光祥,网络谣言"
20,103,news_sports,取名困难症患者皇马的贝尔，第一个受害者就是他的儿子,"枪花,Axel,贝尔,Bale,阿克塞尔"
21,102,news_entertainment,夫妻间能不能互看手机？,"宣言,徐帆,查手机,冯小刚,占便宜,金星秀"
23,101,news_culture,上联：千峰入眠松涛静，怎么接下联？,
25,101,news_culture,单硝酸异山梨酯片与硝酸异山梨酯片有何区别？,
26,104,news_finance,廖英强被证监会处罚1.2亿，你怎么看？,
27,100,news_story,女儿高烧不止，我让婆婆给老公打电话回家，通话内容让我吓瘫在地,"月子,小题大做"
28,101,news_culture,上联：春风执笔谁研墨，怎么对下联？,
30,101,news_culture,葫芦都能做成什么乐器？,
31,101,news_culture,为什么袁大头等银元吹完会有响声？,"袁大头,贵金属,银元"
34,107,news_car,街头偶遇2018款长安CS35，颜值美炸！或售6万起，还买宝骏510？,"CS35,宝骏510,大众途观,SUV,长安CS35,宝骏,CS75"
36,102,news_entertainment,大猩猩对镜头摆造型表情丰富，走红网络收获众多迷妹,"动物园,布拉格动物园,Richard,大猩猩,布拉格"
38,101,news_culture,贵州多彩绚丽的民族风凯莉包 文艺女青年必备,"文艺女青年,贵州"
40,104,news_finance,2018中级会计考试每日一练0509,"保险人,长期股权投资,被保险人,保险法,投资收益,损益调整"
41,102,news_entertainment,抱娃姿势不正确，小心患熊黛林同款“妈妈手”,"妈妈手,抱娃,熊黛林,双胞胎,长时间"
43,107,news_car,一辆车的寿命到底多长，最多可以开多久？,二手车
48,102,news_entertainment,中国传媒大学：平昌冬奥会闭幕式“北京八分钟”主创交流会举行,"陶雯婷,北京体育学院,冬奥会,北京,实公开课"
54,104,news_finance,都说北京叫帝都，上海叫魔都，那深圳叫什么？,"华为技术有限公司,中兴通讯股份有限公司,深圳,科技创新,PCT"
56,106,news_house,揭秘您身边十大类30种轻松赚钱被动收入的生意机会,"月利率,租房合同,优米网,被动收入,自由落体,公寓转让合同,篇第"
60,104,news_finance,拥抱编辑3.0时代！内容升级为产品海内外媒体如何规划下个十年？,"Twitter,mono.kultur,Tuck,Mmonocle,Monocle,内容,第一财经周刊,内容产品化,中国城市商业魅力排行榜,三联生活周刊,亚马逊,周刊,媒体品牌,amagazione curated by"
61,104,news_finance,银行“恼羞成怒”：在微信支付宝上借款两次，不给贷款,"支付宝,京东,银行,京东白条,微信"
64,102,news_entertainment,慕容云海刁难楚雨荨，买矿泉水一下子买500块钱的，直接被累死,"矿泉水,慕容云海,流星雨,楚雨荨,一起来看流星雨"
68,101,news_culture,在中国古代，珍珠是从什么时期开始作为首饰使用的？,
75,107,news_car,济南堵车是因为道路规划不好吗？,
77,106,news_house,2018年南沙公寓是否值得投资,"公寓市场,库存量,去化率,TOP10,南沙区"
78,102,news_entertainment,《泡沫之夏》22点独播！秦俊杰霸气狂撩张雪迎：你是我的！,"霸道总裁,秦俊杰,夏沫,扎头发,泡沫之夏,张雪迎"
79,102,news_entertainment,西方死神入侵天朝，结果被阎王偷走衣服，这下尴尬了,"喜剧,电影,小阎王大战死神"
81,106,news_house,为何全国房价在降，唯独哈尔滨在猛涨？,
82,103,news_sports,最强NBA游戏中谁最好用？,"大前锋,奥多姆,nba"
84,102,news_entertainment,慧慧闺蜜现身说话？爆料截图被石锤造假后消失？笑笑最后的回应！,"笑笑吧,全垒打,不在场证明,慧慧"
87,101,news_culture,你可知道郑板桥的这一幅对联？,"陶渊明诗,郑板桥,说孔子"
89,102,news_entertainment,中国古代的四大僵尸始祖，赢勾、后卿、旱魃、将臣都是什么来历？,"将臣,赢勾,该隐,圣经,吸血鬼,黄帝"
